id,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,pos_chr
2564223,James Robinson,RB,JAC,9.46,0,0.441,9.46,9.46,-0.146,0.908,-2.79,89,64,163,26,8,,,1.05,O,RB
2562492,Jakobi Meyers,WR,NE,9.11,1.06,0.0372,7.78,10.2,-0.459,-0.255,-0.913,95,87,101,34,8,36.1,2.29,3.46,,WR
2495454,Julio Jones,WR,TEN,9.07,1.14,0.0364,7.37,9.98,-0.497,-0.66,-1.15,97,97,108,35,8,38.3,10.4,6.84,,WR
100027,Steelers,DST,PIT,9.06,1.22,0.0601,7.92,10.4,2.37,2.3,1.78,52,49,60,1,1,2.58,1.02,4.1,,DST
2563896,Jerry Jeudy,WR,DEN,9.04,1.51,0.183,7.22,10.7,-0.533,-0.813,-0.405,100,105,88,36,8,26.3,1.71,4.05,,WR
2543743,Carlos Hyde,RB,JAC,9.02,1.21,0.0347,7.89,10.9,-0.588,-0.662,-1.4,104,98,114,27,8,29.1,5,5.15,,RB
100014,Colts,DST,IND,9,1.55,0.576,7.52,11,2.31,1.9,2.44,54,52,55,2,2,3.18,1.11,5.06,,DST
2560938,Jeffery Wilson,RB,SF,8.98,4,0.0212,6.5,13.5,-0.622,-2.05,1.2,105,130,68,28,8,55.1,6.7,10.1,,RB
2566049,Javonte Williams,RB,DEN,8.96,1.15,0.0926,7.3,9.99,-0.644,-1.25,-2.26,106,113,139,29,8,24.3,1.58,3.5,,RB
2561146,Boston Scott,RB,PHI,8.87,2.61,0.341,5.43,11.5,-0.736,-3.12,-0.784,110,155,96,30,9,22.4,2.7,6.17,,RB
2566409,DeVonta Smith,WR,PHI,8.86,1.07,0.36,7.71,10.3,-0.716,-0.321,-0.864,109,91,99,37,8,31,2.88,3.72,,WR
2540232,Jack Doyle,TE,IND,8.78,4.77,0.179,4.7,16.6,1.59,-1.21,8.16,60,112,10,7,4,29,1.98,9.93,,TE
2560866,Dalton Schultz,TE,DAL,8.6,1.42,0.202,6.5,10.3,1.41,0.593,1.92,63,68,58,8,4,7.13,0.58,4.14,,TE
2553435,David Johnson,RB,HOU,8.53,1.25,0.0723,7.22,10.3,-1.08,-1.33,-1.91,117,115,130,31,9,41.2,4.1,4.8,,RB
2555466,Tyler Boyd,WR,CIN,8.5,0.776,0.0487,7.33,9.19,-1.08,-0.699,-1.94,116,100,131,38,8,33,2.13,2.87,,WR
2553439,Mike Davis,RB,ATL,8.46,1.3,0.094,6.7,9.9,-1.15,-1.86,-2.35,120,125,143,32,9,32.9,3.45,4.57,,RB
2564418,Bryan Edwards,WR,LVR,8.45,1.84,0.0632,6.55,11.1,-1.12,-1.48,0,119,118,85,39,8,45.1,6.55,6.57,,WR
100003,Bills,DST,BUF,8.42,1.14,0.571,7.11,9.68,1.74,1.49,1.09,59,56,69,3,3,1.24,0.6,3.38,,DST
2555341,Hunter Henry,TE,NE,8.4,2.21,0.498,6.54,12.3,1.21,0.632,3.87,65,66,47,9,5,10.9,1.99,5.97,,TE
2563707,Darnell Mooney,WR,CHI,8.38,0.386,0.0994,8.03,8.86,-1.19,0,-2.26,121,85,140,40,8,39.6,2.49,2.3,Q,WR
2562502,David Montgomery,RB,CHI,8.36,1.61,0.0806,6.82,9.92,-1.24,-1.73,-2.33,124,121,142,33,9,38.3,10,8.02,,RB
2562699,Tony Pollard,RB,DAL,8.28,2.09,0.461,5.66,11.1,-1.32,-2.89,-1.2,127,150,110,34,9,30.6,2.98,5.53,,RB
2566433,Rondale Moore,WR,ARI,8.28,1.06,0.163,7.19,9.68,-1.29,-0.847,-1.45,125,107,116,41,9,38.6,3.54,3.96,,WR
2564232,Laviska Shenault,WR,JAC,8.12,0.598,0.0256,7.31,8.75,-1.45,-0.726,-2.37,128,101,146,42,9,46.7,2.61,2.74,,WR
2565836,Rashod Bateman,WR,BAL,8.1,1.45,0.0853,6.05,9.44,-1.48,-1.98,-1.68,129,126,123,43,9,39.9,3.55,4.68,,WR
2565310,Marquez Callaway,WR,NO,8.01,2.11,0.0911,5.74,10.7,-1.56,-2.29,-0.41,130,137,89,44,9,43.4,2.83,5.59,,WR
2561061,Russell Gage,WR,ATL,7.92,1.63,0.0915,6.48,10.2,-1.65,-1.56,-0.896,133,119,100,45,9,51.2,2.63,4.64,,WR
2559385,Dan Arnold,TE,JAC,7.9,2.94,0.169,5.57,12.4,0.709,-0.339,4,71,92,45,10,5,15.2,1.93,7.08,,TE
100021,Patriots,DST,NE,7.85,0.748,0.105,6.84,8.75,1.17,1.22,0.17,66,58,82,4,4,4.3,1.27,3.19,,DST
2543509,Allen Robinson,WR,CHI,7.83,1.52,0.0806,5.99,9.96,-1.74,-2.05,-1.16,134,129,109,46,9,44.7,3.48,4.78,,WR
2557977,Jeremy McNichols,RB,TEN,7.82,3.43,0.0363,3.11,12.3,-1.79,-5.44,0.0187,136,247,84,35,9,28.2,3.51,7.76,,RB
2557977,Jeremy McNichols,RB,FA,7.82,3.43,0.0363,3.11,12.3,-1.79,-5.44,0.0187,136,247,84,35,9,28.2,3.51,7.76,,RB
2543583,Devonta Freeman,RB,BAL,7.78,2.28,0.0137,5.26,11.2,-1.82,-3.29,-1.09,138,162,106,36,9,36.4,4.84,6.66,,RB
2555230,Kenyan Drake,RB,LVR,7.77,1.5,0.387,5.74,9.55,-1.84,-2.81,-2.7,140,148,157,37,10,40.6,3.15,4.73,,RB
2564358,Van Jefferson,WR,LAR,7.75,0.619,0.0254,6.84,8.34,-1.82,-1.2,-2.78,139,110,162,47,9,35,3.28,3.04,,WR
100022,Saints,DST,NO,7.74,1.02,0.611,6.49,9.04,1.06,0.864,0.457,67,65,76,5,5,4.55,1.37,4.01,,DST
2558266,George Kittle,TE,SF,7.73,1.51,0.136,5.91,9.93,0.54,0,1.53,73,85,64,11,5,8.51,1.34,4.61,,TE
2558052,Kenny Golladay,WR,NYG,7.72,3.73,0.0331,1.9,9.69,-1.85,-6.13,-1.43,141,261,115,48,9,49.1,9.97,11.4,,WR
2560878,Tre'Quan Smith,WR,NO,7.69,1.65,0.039,6.2,10,-1.88,-1.83,-1.09,142,124,107,49,9,63.2,2.97,4.81,,WR
2558877,Zach Pascal,WR,IND,7.65,0.662,0.0566,7.03,8.66,-1.92,-1.01,-2.47,145,109,152,50,9,50.3,4.97,3.79,,WR
2540158,Zach Ertz,TE,ARI,7.6,1.04,0.404,6.43,9.3,0.404,0.519,0.908,78,70,71,12,5,10.6,1.62,4,,TE
2552600,Nelson Agholor,WR,NE,7.59,1.21,0.218,5.94,8.76,-1.98,-2.1,-2.36,146,131,144,51,9,51,3.85,4.35,,WR
2565899,Chuba Hubbard,RB,CAR,7.38,2.51,0.0721,5.64,11.5,-2.22,-2.91,-0.778,149,152,95,38,10,35.1,7.14,8.05,,RB
2558985,Tim Patrick,WR,DEN,7.38,2.35,0.179,3.97,9.5,-2.2,-4.06,-1.62,148,188,122,52,9,45.6,2.84,6.03,,WR
2566397,Kenneth Gainwell,RB,PHI,7.31,1.18,0.327,6.26,9.21,-2.29,-2.29,-3.04,151,138,169,39,10,38.7,3.56,4.45,,RB
2562580,Mecole Hardman,WR,KC,7.2,1.25,0.0793,5.13,8.04,-2.37,-2.9,-3.08,155,151,171,53,9,43.9,3.01,4.09,,WR
71265,Jared Cook,TE,LAC,7.19,1.21,0.301,5.15,8.39,0,-0.752,0,85,102,85,13,6,13.8,2.76,4.77,,TE
100019,Dolphins,DST,MIA,7.13,1.28,0.0879,5.83,8.9,0.451,0.21,0.315,75,79,80,6,6,8.55,2.7,6.34,,DST
2565093,Brandon Aiyuk,WR,SF,7.12,0.718,0.232,6.27,7.89,-2.45,-1.76,-3.23,158,122,174,54,10,49.3,5.63,4.16,,WR
100017,Rams,DST,LAR,7.04,1.26,0.0351,5.64,8.96,0.363,0.0207,0.373,79,84,78,7,6,7.15,0.93,4.1,,DST
100026,Cardinals,DST,ARI,7.01,0.988,0.0213,6.18,8.58,0.328,0.56,0,81,69,85,8,7,10.5,1.67,4.31,,DST
100008,Cowboys,DST,DAL,6.99,1.07,0.306,6.22,8.68,0.306,0.6,0.1,82,67,83,9,8,6.15,1.26,4.01,,DST
2565090,Salvon Ahmed,RB,MIA,6.98,1.18,0.354,5.96,8.65,-2.62,-2.6,-3.6,161,143,184,40,10,45.2,3.63,4.48,,RB
2563911,Albert Okwuegbunam,TE,DEN,6.89,0.647,0.0511,6.29,7.81,-0.301,0.38,-0.587,90,74,91,14,6,15.4,3.19,4.09,,TE
2562736,Darius Slayton,WR,NYG,6.88,1.61,0.423,5.21,8.74,-2.69,-2.83,-2.38,162,149,148,55,10,57.8,5.64,5.79,,WR
2555364,Tyler Higbee,TE,LAR,6.84,0.996,0.0762,5.13,7.7,-0.352,-0.772,-0.696,92,104,93,15,6,9.62,1.39,3.84,,TE
2566442,Pat Freiermuth,TE,PIT,6.76,0.719,0.0356,6.02,7.7,-0.429,0.115,-0.691,94,82,92,16,6,13.6,2.56,3.92,,TE
2557858,Evan Engram,TE,NYG,6.73,0.969,0.0712,5.34,7.61,-0.464,-0.571,-0.788,96,94,97,17,6,16.4,1.86,4,,TE
100029,49ers,DST,SF,6.68,2.77,0.384,2.97,9.14,0,-2.65,0.556,85,145,74,10,9,9.76,1.65,8.89,,DST
2561027,Tyler Conklin,TE,MIN,6.66,0.659,0.207,6.1,7.67,-0.535,0.194,-0.727,101,80,94,18,6,14.4,2.01,3.59,,TE
2558954,Taysom Hill,QB,NO,6.64,3.68,1.38,3.09,12.3,-12.3,-14.5,-7.94,410,351,283,30,11,,,7.88,,QB
2562293,Ty Johnson,RB,NYJ,6.63,0.386,0.164,6.24,7.05,-2.98,-2.31,-5.2,166,139,218,41,10,36.7,2.38,2.73,,RB
2562734,Devin Singletary,RB,BUF,6.47,1.9,0.0877,3.99,8.73,-3.14,-4.56,-3.53,170,206,183,42,10,30.7,2.19,4.89,,RB
2560907,Marquez Valdes-Scantling,WR,GB,6.46,1.73,0.203,5.02,8.38,-3.11,-3.01,-2.74,169,154,160,56,10,67.8,8.06,6.98,,WR
2560751,Ryan Izzo,TE,FA,6.45,,0.463,,,-0.743,,,111,,,19,7,,,,,TE
2560751,Ryan Izzo,TE,TEN,6.45,,0.463,,,-0.743,,,111,,,19,7,,,,,TE
2563327,D'Ernest Johnson,RB,CLE,6.38,1.85,0.0449,4.13,9.03,-3.23,-4.42,-3.22,172,204,173,43,10,37.6,2.92,5.15,,RB
2563986,AJ Dillon,RB,GB,6.33,1.1,0.06,5.17,8.01,-3.27,-3.38,-4.25,173,163,196,44,11,27.9,2.14,3.69,,RB
100018,Raiders,DST,LVR,6.3,0.864,0.143,5.31,7.35,-0.384,-0.316,-1.23,93,89,111,11,10,,,3.77,,DST
2507164,Adrian Peterson,RB,TEN,6.27,2.58,0.338,3.44,9.31,-3.33,-5.11,-2.94,176,235,167,45,11,32.9,2.29,5.94,,RB
2507164,Adrian Peterson,RB,FA,6.27,2.58,0.338,3.44,9.31,-3.33,-5.11,-2.94,176,235,167,45,11,32.9,2.29,5.94,,RB
2558821,Jamal Agnew,WR,JAC,6.26,0.676,0.0297,5.61,7.13,-3.31,-2.42,-3.99,175,140,193,57,10,51.1,4.33,3.57,,WR
2564574,K.J. Osborn,WR,MIN,6.23,1.5,8.04E-05,4.17,7.61,-3.34,-3.86,-3.51,177,181,182,58,10,57.4,4.37,5.09,,WR
2556462,Robby Anderson,WR,CAR,6.23,2.02,0.0724,3.2,7.79,-3.34,-4.83,-3.34,178,213,177,59,10,55,3.31,5.62,,WR
2563803,Donovan Peoples-Jones,WR,CLE,6.16,2.38,0.0281,3.64,8.96,-3.41,-4.39,-2.17,180,201,136,60,10,62.3,11,9.32,,WR
100028,Chargers,DST,LAC,6.15,0.679,0.0585,5.3,6.87,-0.527,-0.32,-1.71,99,90,125,12,10,15.7,2.92,5.07,,DST
2560787,Allen Lazard,WR,GB,6.13,1.7,0.0032,4.45,8.05,-3.44,-3.58,-3.08,182,169,170,61,10,65.8,7.13,6.55,,WR
2558914,Kendrick Bourne,WR,NE,6.13,1.52,0.187,5.03,8.64,-3.45,-3,-2.48,183,153,153,62,10,59.4,2.53,4.4,,WR
100007,Browns,DST,CLE,6.1,1.41,0.00205,4.06,7.5,-0.586,-1.56,-1.08,102,120,105,13,10,14.7,1.51,5.2,,DST
100004,Panthers,DST,CAR,6.09,0.513,0.0881,5.57,6.85,-0.588,-0.0505,-1.73,103,86,127,14,11,12.4,2.43,4.03,,DST
100013,Texans,DST,HOU,6.01,0.826,0.0244,4.66,6.68,-0.676,-0.959,-1.9,107,108,129,15,12,23.1,2.24,4.6,,DST
2552559,C.J. Uzomah,TE,CIN,5.99,1.3,0.406,4.14,7.59,-1.21,-1.77,-0.805,122,123,98,20,7,15.1,2.23,4.68,,TE
100002,Ravens,DST,BAL,5.98,0.439,0.07,5.62,6.53,-0.7,0,-2.06,108,85,133,16,12,15.8,2.5,3.93,,DST
2560742,Nyheim Hines,RB,IND,5.94,1.23,0.172,4.26,7.45,-3.67,-4.29,-4.8,187,195,208,46,11,37.5,2.39,3.99,,RB
2563155,Deonte Harris,WR,NO,5.94,1.11,0.168,4.88,7.67,-3.63,-3.15,-3.45,185,157,178,63,11,69.4,8.68,6.09,,WR
